short_name,qtd_parties,qtd_palavras_texto,qtd_caracteres_texto
propose_meeting,3.4764969222160045,44.01650811415781,265.91745942921096
send_email,3.0,10.244444444444444,75.73333333333333
check_in,2.0,0.0,0.0
received,2.0,12.292045141756125,86.52628681530416
delete_file,2.0,1.1371455137145514,9.379956166567045
sent,2.0,12.288510868097745,86.47644120426624
saidit_post_check,2.0,0.0,0.0
create_file,1.9408125,1.5159375,11.5570625
read_file,1.7991825034504725,3.5807410553137275,22.241639239834377
post_saidit,1.7894736842105263,10.796992481203008,79.84962406015038
post_flex,1.7692307692307692,10.596153846153847,78.07051282051282
queue_subordinate_task,1.09913135344524,6.116504284540439,39.3455217748562
saidit_post,1.0277777777777777,15.037037037037036,97.18518518518519
access_email,1.0,6.674324743868364,41.87286556969885
access_files,1.0,5.768692243069168,36.05320638476617
assign_agent_task,1.0,10.643985999151464,74.31570852778957
check_access,1.0,0.5423180592991914,4.423450134770889
check_email,1.0,0.0,0.0
ask_agent,1.0,58.93170731707317,371.1707317073171
give_advice,1.0,25.19673348181143,171.7488245483791
list_files,1.0,0.0,0.0
enter_room,1.0,0.5423180592991914,4.423450134770889
flex_post,1.0,15.083333333333334,97.675
suggest_contacts,1.0,18.5172795134089,132.5114735969035
