timestamp,qtd_eventos
2046-05-09 20:00:00,276
2046-05-10 20:00:00,3045
2046-05-10 21:00:00,3655
2046-05-10 22:00:00,3666
2046-05-10 23:00:00,3659
2046-05-11 00:00:00,3663
2046-05-11 01:00:00,3692
2046-05-11 02:00:00,1362
2046-05-11 15:00:00,189
2046-05-11 16:00:00,3651
2046-05-11 17:00:00,3646
2046-05-11 18:00:00,3645
2046-05-11 19:00:00,3659
2046-05-11 20:00:00,3660
2046-05-11 21:00:00,3053
2046-05-12 07:00:00,3774
2046-05-12 08:00:00,7247
2046-05-12 09:00:00,7248
2046-05-12 10:00:00,4971
2046-05-12 11:00:00,1660
2046-05-12 12:00:00,2485
2046-05-12 13:00:00,3603
2046-05-12 14:00:00,1270
2046-05-14 20:00:00,609
2046-05-17 12:00:00,0
2046-05-19 20:00:00,371
2046-05-25 01:00:00,669
2046-05-28 12:00:00,140
2046-05-29 11:00:00,1
2046-06-01 10:00:00,666
2046-06-05 23:00:00,377
2046-06-08 10:00:00,197
2046-06-10 10:00:00,263
2046-06-11 21:00:00,130
2046-06-13 20:00:00,314
2046-06-16 18:00:00,188
2046-06-18 20:00:00,317
2046-06-20 10:00:00,130
2046-06-24 11:00:00,732
2046-06-28 12:00:00,220
2046-06-30 10:00:00,137
2046-07-02 11:00:00,262
2046-07-05 04:00:00,438
2046-07-08 11:00:00,477
2046-07-11 12:00:00,5
2046-07-12 12:00:00,6
2046-07-14 10:00:00,395
