tabela,variavel,qtd_validos,media,mediana,moda,minimo,maximo,amplitude,q1,q2,q3,desvio_padrao,variancia
MC2 - Events,when,185147,2411279591.7046075,2410333449.0,2409943584.0,2409423492.0,2415373559.0,5950067.0,2409685800.5,2410333449.0,2412884009.0,1878899.8494637199,3530264644314.789
MC2 - Events,id,185147,385195.8785775627,385448.0,15246.0,15246.0,755530.0,740284.0,199687.0,385448.0,570051.0,213758.7880824259,45692819482.46746
MC2 - Events,details_content_length,1210,1005949.3239669421,878085.0,72581.0,142.0,14310008.0,14309866.0,440130.5,878085.0,1319757.75,1047001.4407390612,1096212016909.6699
MC2 - Events,details_size_hint,15053,22491.40510197303,22501.0,20085.0,16846.0,44879.0,28033.0,19675.0,22501.0,25323.0,3245.8564933789708,10535584.375610428
MC2 - Events,details_word_count,15051,4006.4272141385954,4009.0,3579.0,3000.0,5000.0,2000.0,3506.0,4009.0,4513.0,577.1994198713934,333159.17029987305
MC2 - Events,qtd_parties,185147,1.4635127763344802,1.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,0.5960155825671403,0.35523457466284764
MC2 - Events,hora,185147,12.202341922904504,12.0,20.0,0.0,23.0,23.0,7.0,12.0,19.0,6.987068005549603,48.81911931417491
MC2 - Events,qtd_caracteres_texto,185147,36.9526322327664,17.0,0.0,0.0,589.0,589.0,0.0,17.0,41.0,58.78343776083458,3455.492554981913
MC2 - Events,qtd_palavras_texto,185147,5.503518825581835,3.0,0.0,0.0,87.0,87.0,0.0,3.0,6.0,9.036563020005378,81.65947121452871
MC2 - Event Parties,event_id,270965,353021.6178547045,323304.0,15249.0,15246.0,755530.0,740284.0,171053.0,323304.0,534382.0,212168.42402328434,45015440152.524185
MC2 - Org Nodes,grau_saida,75,0.9866666666666667,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,1.5896058778347693,2.5268468468468472
MC2 - Org Nodes,grau_entrada,75,0.9866666666666667,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.11547005383792519,0.013333333333333343
MC2 - Org Nodes,grau_total,75,1.9733333333333334,1.0,1.0,1.0,7.0,6.0,1.0,1.0,3.0,1.5507045768568186,2.4046846846846845
